store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
1000385412041408565,60.0,4.399877777777777,39.09801301301301,0.0,5.599844444444445,30.900042542542543
1000400335282361328,0.0,0.0,0.0,60.0,24.0,168.0
1000558441535520566,0.0,0.0,6.893181818181818,60.0,11.75,77.35681818181818
1003200614770244799,60.0,13.466666666666667,84.83333333333333,0.0,0.0,0.0
1003713923115890238,60.0,24.0,168.0,0.0,0.0,0.0
1004567882358859299,60.0,24.0,168.0,0.0,0.0,0.0
1004734158580760410,0.0,0.0,0.0,60.0,24.0,168.0
1005454408747305679,60.0,8.142857142857142,55.08968609865472,0.0,2.357142857142857,9.910313901345285
1006003012278214453,60.0,24.0,168.0,0.0,0.0,0.0
1006235379059772386,0.0,0.0,0.0,60.0,24.0,168.0
1007392278459573100,60.0,10.5,63.5,0.0,0.0,0.0
100927970158485910,60.0,7.2229108944444445,54.0,0.0,0.0,0.0
1009333266625513049,0.0,0.0,0.0,60.0,10.0,60.0
1009358099378516398,60.0,24.0,143.5897435897436,0.0,0.0,24.410256410256412
1010479668839241668,60.0,23.98333333333333,167.88333333333333,0.0,0.0,0.0
1010954516905912579,60.0,16.0,112.0,0.0,0.0,0.0
1011576216621297748,60.0,24.0,165.02654867256635,0.0,0.0,2.9734513274336374
1011603928978119029,60.0,15.233333333333333,106.63333333333331,0.0,0.0,1.5158245029548804e-14
1012919347352044037,60.0,13.483333333333333,109.38333333333335,0.0,0.0,-1.5158245029548804e-14
1012964275950235204,60.0,15.983333333333333,113.88333333333335,0.0,0.0,-1.5158245029548804e-14
101309509464394483,0.0,0.0,16.8,60.0,24.0,151.2
1013860325619674531,60.0,24.0,168.0,0.0,0.0,0.0
1013928287505433710,60.0,24.0,168.0,0.0,0.0,0.0
1015214744820193842,60.0,13.5,94.5,0.0,0.0,0.0
1015372118842025109,60.0,24.0,168.0,0.0,0.0,0.0
1015387272958179949,60.0,24.0,168.0,0.0,0.0,0.0
1016295610192823996,60.0,23.98333333333333,160.4,0.0,0.0,0.0
1016340945788417334,60.0,8.75,60.25,0.0,0.0,0.0
1016634108828761839,60.0,24.0,168.0,0.0,0.0,0.0
1017106810833904828,0.0,0.0,0.0,60.0,24.0,168.0
1019058292591476179,0.0,0.0,0.0,60.0,12.0,84.0
1019542728515086296,60.0,24.0,168.0,0.0,0.0,0.0
1019560701115878725,60.0,10.166666666666666,71.16666666666667,0.0,0.0,0.0
1019604210961591619,60.0,7.0,46.0,0.0,0.0,0.0
1021481785936132445,60.0,24.0,168.0,0.0,0.0,0.0
1021751857440600161,60.0,12.0,85.96666666666667,0.0,0.0,0.0
1021872076660489708,60.0,12.0,80.0,0.0,0.0,0.0
1022591884403771382,60.0,24.0,168.0,0.0,0.0,0.0
1022997542207533123,60.0,14.5,101.5,0.0,0.0,0.0
1023195882669842302,60.0,14.0,98.0,0.0,0.0,0.0
1023496631999592780,60.0,24.0,165.0,0.0,0.0,3.0
1024015964072928046,0.0,0.0,11.981981981981981,60.0,10.0,58.01801801801802
1024201760647776108,60.0,22.0,151.64601769911505,0.0,2.0,16.353982300884944
1025343019535068501,60.0,11.5,80.5,0.0,0.0,0.0
1026043486905735229,0.0,0.0,0.0,60.0,12.999722222222223,91.99833333333332
1026140097564791670,60.0,24.0,168.0,0.0,0.0,0.0
1026215891482405791,0.0,6.24,54.23423423423423,60.0,5.76,31.76576576576577
1026252971907679697,0.0,0.0,0.0,60.0,9.0,61.0
1027087744213169660,60.0,24.0,168.0,0.0,0.0,0.0
1027536014731046481,60.0,10.0,71.0,0.0,0.0,0.0
1027897731988099017,0.0,0.0,0.0,60.0,8.0,59.0
1027940035533410279,60.0,10.0,72.0,0.0,0.0,0.0
1028640502295407243,0.0,0.0,0.0,60.0,24.0,168.0
1029401875370154802,0.0,4.5,26.0,60.0,0.0,0.0
1029676627360251501,60.0,24.0,168.0,0.0,0.0,0.0
1030520037427647364,60.0,9.75,60.5,0.0,0.0,0.0
1030744217790694351,0.0,0.0,0.0,60.0,7.5,45.0
1030838843716892116,13.374653666666667,7.499722222222222,52.49805555555556,0.0,0.0,-7.579122514774402e-15
1031418415121069817,60.0,18.74972222222222,133.24805555555557,0.0,0.0,0.0
1031837096861134419,60.0,21.483333333333334,143.88333333333333,0.0,0.0,0.0
1032470530071453453,60.0,23.983333333333334,126.29061561561564,0.0,-3.789561257387201e-15,41.592717717717704
1032704868831201847,60.0,24.0,168.0,0.0,0.0,0.0
1034306204553914959,0.0,0.0,0.0,60.0,24.0,168.0
1034685929854317101,0.0,0.0,0.0,60.0,24.0,0.75
1034937556355683894,0.0,0.0,5.1891891891891895,60.0,10.75,58.810810810810814
1034949516386825720,60.0,10.5,63.0,0.0,0.0,0.0
1036522294471450615,0.0,0.31999999999999995,8.142857142857144,60.0,7.680000000000001,39.85714285714286
1036774495338293873,0.0,0.0,0.0,43.37465366666667,3.7229108944444445,42.0
1038179518281210829,60.0,11.75,81.25,0.0,0.0,0.0
1038266841183338064,60.0,9.0,53.0,0.0,0.0,0.0
1039561743854937175,60.0,15.0,107.0,0.0,0.0,0.0
1040311241747249138,60.0,9.692307692307692,80.3157894736842,0.0,2.3076923076923075,3.684210526315792
1040732551176103056,60.0,12.0,81.0,0.0,0.0,0.0
1041483507949914259,60.0,24.0,168.0,0.0,0.0,0.0
1042030963402089390,60.0,15.483333333333333,105.40000000000002,0.0,0.0,-1.5158245029548804e-14
1042592690930927782,0.0,0.0,0.0,60.0,24.0,168.0
